spirals,dimers,sites,tau_super_ordered,tau_sub_ordered,tau_super_static,tau_sub_static,tau_super_jitter,tau_sub_jitter
0,1,8,9.532845369903255e-10,1.7927321933099087e-08,1.1468280562167626e-09,2.360512248336963e-08,1.0277426293409916e-09,4.2185468483865864e-08
1,13,104,1.189798925560715e-10,2.3190563016528533e-05,5.967058103332192e-10,2.880870212241081e-08,5.562941234306662e-10,3.9123442624535366e-08
2,26,208,1.0579174430925475e-10,2.2842130743293893e-05,3.8992199494877485e-10,4.97541566231445e-08,5.440255043753677e-10,1.6040395920537092e-07
3,39,312,8.322123324139102e-11,0.00012984403181365002,3.0146624062363803e-10,6.504064440653309e-08,4.1430988616295017e-10,3.55036696106674e-07
5,65,520,5.728854201981696e-11,0.0001399532062751403,3.319074437227469e-10,9.741215719120498e-07,3.181038647128309e-10,3.5461006816405096e-07
10,130,1040,1.3067372142249818e-11,0.000622787383328678,2.473391650018623e-10,2.315248285905219e-07,3.288795169196486e-10,3.5836054413543935e-07
20,260,2080,9.426179851267215e-12,0.0021724386809287614,2.7834691826594375e-10,2.0118444798972485e-07,3.2625089292880053e-10,1.4419935654065533e-06
