mode,energy_cm,decay_cm,decay_over_gamma,lifetime_ps
0,68.14418628486528,2.2892234635073088e-07,8.385433932261206e-05,23190560.220549632
1,-46.99719742903858,3.8449700163558463e-07,0.00014084139254050718,13807227.198894288
2,68.08388660587912,6.217427506919649e-07,0.00022774459732306408,8538639.900453534
3,68.37274720745509,9.565484809517027e-07,0.00035038405895666764,5549993.0893144095
4,3.6999398969408475,1.0181046736796528e-06,0.00037293211490097174,5214431.871419317
5,-22.174505071875494,1.1143599467010869e-06,0.0004081904566670648,4764023.93552662
6,-1.1339952969504878,1.4903827212969167e-06,0.0005459277367387974,3562063.20901013
7,-46.93895130627983,1.656540564387514e-06,0.0006067914155265619,3204773.594445014
8,43.83761067070233,1.9021253707537216e-06,0.0006967492200563083,2791002.9173169094
9,43.86388255716926,1.997158251705896e-06,0.0007315597991596689,2658195.6909731813
10,-68.17200430490482,2.140456176437047e-06,0.0007840498814787719,2480236.464225636
11,68.70931379637646,2.44252410555143e-06,0.0008946974745609634,2173504.632691275
12,-1.1009096029402408,2.5806765956942676e-06,0.0009453027823055926,2057149.4575235348
13,-47.01324788985232,3.333763327582107e-06,0.0012211587280520542,1592445.814900276
14,3.7751239668964307,4.601952775880486e-06,0.0016856969875020098,1153605.3752442976
15,-46.85228522253381,4.798083304968993e-06,0.0017575396721498146,1106449.6219517915
16,3.408250995107294,4.903731572784163e-06,0.0017962386713495104,1082611.7580212445
17,-21.89366691006547,5.040562650712302e-06,0.0018463599453158615,1053223.1869245654
18,-22.246292768564786,5.4878020106267185e-06,0.0020101838866764536,967388.6646413225
19,68.24174569282332,6.048975561645171e-06,0.0022157419639725904,877642.4048623984
20,69.08999665249245,6.177044373111234e-06,0.0022626536165242617,859446.2235022292
21,-68.41662519059979,6.735276128907575e-06,0.002467134113152958,788213.7802919165
22,43.97427509597544,9.033903693302964e-06,0.003309122231979108,587657.0792770024
23,-67.21118899304804,1.073338455927439e-05,0.003931642695704905,494609.825033143
24,-0.9733818937768466,1.1720746930990369e-05,0.0042933138941356665,452943.61273506004
25,16.175544735753277,1.3322788229938392e-05,0.004880142208768643,398477.95876139164
26,-46.74800913993156,1.4469493020732926e-05,0.005300180593675065,366898.65023392753
27,-21.43107668586778,1.4850403825214443e-05,0.0054397083608844115,357487.7505931718
28,-1.048032839033526,1.5034261150691497e-05,0.005507055366553663,353115.9533324966
29,16.27337291104761,1.633174036028121e-05,0.005982322476293483,325062.56784410053
30,2.9490564312382994,1.6626642787705604e-05,0.006090345343481906,319297.01784425834
31,16.428507485947144,1.7244603750426084e-05,0.006316704670485745,307854.9983350573
32,43.91346342405738,1.8361227783107083e-05,0.006725724462676587,289133.0319294032
33,68.53072438837336,1.9983075464721872e-05,0.007319807862535485,265666.6872047983
34,44.17080024188916,2.480049480777534e-05,0.00908443033251844,214061.7556231879
35,-46.97744159795065,2.7890065798079088e-05,0.010216141317977689,190348.68893144696
36,-0.7783063117901677,3.4273707765026296e-05,0.012554471708800842,154895.33537697396
37,-65.67927934319587,3.674277103331461e-05,0.013458890488393632,144486.5836074974
38,69.43472794222457,3.839450308862145e-05,0.014063920545282582,138270.76877704056
39,16.6027579461369,4.2051781290586664e-05,0.015403582890324787,126245.24564586123
40,-20.81274543472985,4.585484282019978e-05,0.016796645721684902,115774.84802842936
41,3.5824407128693565,4.619724704850393e-05,0.016922068515935508,114916.74933145326
42,-0.886544904665371,5.260110272627724e-05,0.019267803196438553,100926.35294172415
43,-22.071366826527758,5.3221286030569094e-05,0.01949497656797403,99750.2663845227
44,68.8988532778095,5.4075744056194444e-05,0.019807964855748882,98174.09915542367
45,44.076964350527966,6.146395165562907e-05,0.022514268005724935,86373.18811879458
46,44.46847878616032,6.435219502114035e-05,0.02357223260847632,82496.60259657248
47,-67.76819782398353,6.596650550769633e-05,0.0241635551310243,80477.77304584919
48,-46.90944434868086,6.816847708235301e-05,0.024970138125404034,77878.18777970706
49,2.376638706135357,6.986493650949146e-05,0.025591551834978563,75987.15069546962
50,-0.5510711569632679,0.00010280046459274728,0.037655847836171166,51642.15434149596
51,16.221891475846963,0.00010625156412018757,0.03891998685721157,49964.793486437506
52,-46.81096505786646,0.0001264290732161219,0.046311015830081285,41990.63810110392
53,-46.61970901596517,0.00012679455272337546,0.04644489110746353,41869.60200457748
54,-63.70621814056993,0.00013700023735621394,0.0501832371268183,38750.57124954208
55,-0.6728864313860077,0.00014695812904345264,0.0538308164994332,36124.8302045709
56,3.2154791827832336,0.0001608241012052097,0.0589099271813955,33010.21065307948
57,-21.724770952753467,0.00016817786247676504,0.06160361262885167,31566.80303039051
58,69.27266520850947,0.00017688586772950216,0.06479335814267478,30012.78466742487
59,44.34565005434683,0.00018110443543133063,0.06633862103711745,29313.67995616594
60,-20.115321983649,0.0001977067841766192,0.07242006746396308,26852.07531438857
61,16.144014229038095,0.00020540903264413938,0.07524140389895215,25845.19965133877
62,-66.51115179366192,0.00022041047307345152,0.08073643702324232,24086.139759370606
63,16.355626496424282,0.00023760140730805094,0.08703348253042159,22343.459658019707
64,-0.3657989082035187,0.00027439247249132654,0.1005100631836361,19347.606042815027
65,69.71363370624006,0.000307382521613587,0.11259433026138718,17271.11037741413
