site,final_excitation,bright_initial_weight,dark_initial_weight
1,0.003665021855611017,0.009560152143109008,0.990439847856891
2,0.01934271741364424,0.4383537589189145,0.5616462410810855
3,0.04663310269369647,0.5262444597975312,0.47375554020246874
4,0.19097110495118064,0.5198025398891406,0.48019746011085934
5,0.0016489442838729662,0.14190456385932648,0.8580954361406735
6,0.0064465241841246135,0.9831432958288877,0.016856704171112565
7,0.1990665700817853,0.5275020413348919,0.4724979586651081
8,0.002746119342595943,0.8534891882281991,0.14651081177180098
