mode,energy_cm,decay_cm,decay_over_gamma,lifetime_ps
0,68.87865549311314,0.0002961310941303774,0.10847292825288551,17927.321933099087
1,16.25151338382302,0.0012090117302828057,0.4428614396640314,4391.055376802945
2,-0.4904921757345172,0.0019942982745765896,0.7305121884895934,2662.0077480653017
3,2.5633880213765936,0.0025703535398407147,0.9415214431650971,2065.4113827489796
4,44.44020794773753,0.0030931443312277795,1.1330199015486373,1716.3238731795223
5,-46.73086182729248,0.003290310646688861,1.205241995124125,1613.4760601460498
6,-20.907708196043632,0.0038177547131489475,1.3984449498714095,1390.565360470036
7,-64.00470264697965,0.005568995670103922,2.0399251538842207,953.2845369903256
