time_ps,ground_population,total_excitation,l1_total,pair_4_7_l1,pair_3_7_l1,pair_2_3_l1,pair_3_4_l1,pair_4_7_logneg,pair_3_7_logneg,pair_2_3_logneg,pair_3_4_logneg
0.0,-2.8077424974528396e-16,1.0000000000000002,4.440892098500626e-16,1.9139191362976778e-16,8.203982620225379e-18,2.925367685181738e-17,5.125810243655262e-17,0.0,0.0,0.0,0.0
83.79888268156425,0.04190177092608058,0.9580982290739194,0.027528903605354094,0.009416709922659649,0.0024790721848268727,0.004789467177771156,0.0006373703061211752,8.400216237641341e-05,5.8281365476476565e-06,2.1788164549958747e-05,3.853028043751266e-07
167.5977653631285,0.08152178106432711,0.9184782189356728,0.05315138800933328,0.017986808170490358,0.004739080479728899,0.009203454639512948,0.0013201009854560575,0.0003022464357272562,2.1022799437858868e-05,7.951161883996163e-05,1.6316886854894539e-06
251.39664804469277,0.11900165856230081,0.8809983414376992,0.07657941139729885,0.025784642597195886,0.006831684122125583,0.013275248297258149,0.002006556601221372,0.0006132622973519298,4.316636033794511e-05,0.0001636030700497496,3.7252879691877046e-06
335.195530726257,0.1544733983124334,0.8455266016875667,0.09829212105623897,0.03286417056959578,0.008765654558106906,0.0170253610319079,0.002700556245041179,0.0009846957096922497,7.028106674626754e-05,0.00026628657619805825,6.673971981033541e-06
418.99441340782124,0.18806013655536738,0.8119398634446326,0.11833794005128584,0.039299119325578356,0.010542409108595744,0.020470846888689023,0.003408128799664431,0.0013930760054784168,0.00010062074549375032,0.00038118647059920077,1.0521606165713476e-05
502.79329608938554,0.21987662028630572,0.7801233797136943,0.13670537929464466,0.04514097864364408,0.012171275803884067,0.023630096898040232,0.004125443143537184,0.0018200635461339183,0.00013284599149233187,0.0005032085821330108,1.5271620378527185e-05
586.5921787709498,0.25002997200644195,0.749970027993558,0.1536824565667334,0.050435762884219644,0.01367426370047218,0.02652533475605173,0.004840889025102328,0.0022516717855277516,0.00016620588466418,0.0006285096484764397,2.0843889952115365e-05
670.391061452514,0.2786201493726808,0.7213798506273192,0.16928660526145067,0.055234091810033005,0.015070666726398061,0.029173945346741878,0.005544119162600176,0.0026782248696646154,0.00020023393356498966,0.0007539854723715107,2.7117199067192328e-05
754.1899441340782,0.30574048595289777,0.6942595140471022,0.1836653959344775,0.05957723368773378,0.016344983662576675,0.031586943512146845,0.00624947561802353,0.003092325096590536,0.00023373608668117104,0.0008769341021205049,3.419500131576504e-05
837.9888268156425,0.33147817848552263,0.6685218215144774,0.19679173515205495,0.0635067892626987,0.017514291991547856,0.03378269405765145,0.00695338903712208,0.0034891583593029563,0.000266472748569286,0.0009956408566620385,4.203252199085249e-05
921.7877094972067,0.35591467146952643,0.6440853285304735,0.2088408978583155,0.06705315368720963,0.018603204260358552,0.03577854125879521,0.007637536187391316,0.0038647193851576367,0.000298649033028256,0.0011088994882282588,5.0375725548869335e-05
